,team,date,cum_wins,games_played,win_record,opposing_team,point_diff,owr,ogp
0,Regis MA,12/29/2024,0,1,0.0,Holy Cross,-36,0.40625,32
1,Hannibal LaGrange,11/04/2024,0,1,0.0,Kansas City,-23,0.3157894736842105,19
2,Dickinson St.,11/12/2024,0,1,0.0,North Dakota,-31,0.4,20
3,Wyoming,01/04/2025,1,1,1.0,Air Force,5,0.0,1
4,Wyoming,01/07/2025,1,2,0.5,New Mexico,-8,1.0,2
5,Wyoming,01/14/2025,1,3,0.3333333333333333,Boise St.,-41,0.5,4
6,Wyoming,01/18/2025,1,4,0.25,Colorado St.,-16,0.75,4
7,Wyoming,01/21/2025,2,5,0.4,UNLV,2,0.5,6
8,Wyoming,01/25/2025,2,6,0.3333333333333333,San Jose St.,-9,0.5,6
9,Wyoming,01/28/2025,3,7,0.42857142857142855,Fresno St.,11,0.14285714285714285,7
10,Wyoming,02/01/2025,3,8,0.375,San Diego St.,-2,0.7777777777777778,9
11,Wyoming,02/04/2025,3,9,0.3333333333333333,Utah St.,-4,0.7777777777777778,9
12,Wyoming,02/08/2025,3,10,0.3,UNLV,-11,0.36363636363636365,11
13,Wyoming,02/12/2025,3,11,0.2727272727272727,New Mexico,-4,0.9090909090909091,11
14,Wyoming,02/15/2025,3,12,0.25,Colorado St.,-35,0.7272727272727273,11
15,Wyoming,02/18/2025,4,13,0.3076923076923077,Air Force,7,0.0,13
16,Wyoming,02/22/2025,4,14,0.2857142857142857,San Jose St.,-9,0.42857142857142855,14
17,Wyoming,02/25/2025,4,15,0.26666666666666666,Nevada,-23,0.5714285714285714,14
18,Wyoming,03/01/2025,4,16,0.25,San Diego St.,-3,0.75,16
19,Wyoming,03/04/2025,4,17,0.23529411764705882,Fresno St.,-4,0.125,16
20,Wyoming,03/12/2025,4,18,0.2222222222222222,San Jose St.,-5,0.4444444444444444,18
21,Wyoming,11/04/2024,5,19,0.2631578947368421,Concordia St. Paul,23,0.0,1
22,Wyoming,11/10/2024,6,20,0.3,Tennessee St.,15,0.6086956521739131,23
23,Wyoming,11/13/2024,6,21,0.2857142857142857,Texas Tech,-47,0.8,25
24,Wyoming,11/16/2024,7,22,0.3181818181818182,Utah Tech,17,0.18181818181818182,22
25,Wyoming,11/22/2024,8,23,0.34782608695652173,Southeastern Louisiana,3,0.5833333333333334,12
26,Wyoming,11/26/2024,9,24,0.375,Tulane,1,0.6153846153846154,26
27,Wyoming,11/27/2024,9,25,0.36,Loyola Marymount,-3,0.5,24
28,Wyoming,12/04/2024,9,26,0.34615384615384615,Utah St.,-3,0.75,28
29,Wyoming,12/10/2024,9,27,0.3333333333333333,South Dakota,-1,0.6,30
30,Wyoming,12/14/2024,9,28,0.32142857142857145,BYU,-19,0.71875,32
31,Wyoming,12/19/2024,10,29,0.3448275862068966,Bellarmine,37,0.16666666666666666,30
32,Wyoming,12/22/2024,11,30,0.36666666666666664,Cal St. Fullerton,4,0.16129032258064516,31
33,Wyoming,12/28/2024,12,31,0.3870967741935484,Nevada,3,0.53125,32
34,Wyoming,12/31/2024,12,32,0.375,Boise St.,-9,0.7058823529411765,34
35,Cornell,01/05/2025,1,1,1.0,Penn State Schuylkill,52,0.0,1
36,Cornell,01/11/2025,2,2,1.0,Columbia,11,0.0,1
37,Cornell,01/18/2025,3,3,1.0,Penn,10,0.0,2
38,Cornell,01/20/2025,3,4,0.75,Brown,-1,0.5,4
39,Cornell,01/25/2025,4,5,0.8,Princeton,9,0.8,5
40,Cornell,01/31/2025,5,6,0.8333333333333334,Dartmouth,12,0.5,6
41,Cornell,02/01/2025,6,7,0.8571428571428571,Harvard,15,0.42857142857142855,7
42,Cornell,02/08/2025,7,8,0.875,Yale,85,0.875,8
43,Cornell,02/14/2025,7,9,0.7777777777777778,Harvard,-2,0.4444444444444444,9
44,Cornell,02/15/2025,7,10,0.7,Dartmouth,-39,0.7,10
45,Cornell,02/21/2025,7,11,0.6363636363636364,Yale,-4,0.9090909090909091,11
46,Cornell,02/22/2025,8,12,0.6666666666666666,Brown,4,0.5,12
47,Cornell,02/28/2025,9,13,0.6923076923076923,Penn,28,0.25,12
48,Cornell,03/02/2025,10,14,0.7142857142857143,Princeton,32,0.5714285714285714,14
49,Cornell,03/08/2025,11,15,0.7333333333333333,Columbia,19,0.07142857142857142,14
50,Cornell,03/15/2025,12,16,0.75,Dartmouth,16,0.5625,16
51,Cornell,03/16/2025,12,17,0.7058823529411765,Yale,-6,0.8823529411764706,17
52,Cornell,11/04/2024,13,18,0.7222222222222222,Marywood,41,0.0,1
53,Cornell,11/08/2024,14,19,0.7368421052631579,Samford,2,0.5909090909090909,22
54,Cornell,11/12/2024,14,20,0.7,La Salle,-16,0.4090909090909091,22
55,Cornell,11/16/2024,15,21,0.7142857142857143,Lafayette,10,0.375,24
56,Cornell,11/21/2024,15,22,0.6818181818181818,Robert Morris,-10,0.7857142857142857,28
57,Cornell,11/25/2024,16,23,0.6956521739130435,Iona,16,0.5185185185185185,27
58,Cornell,11/27/2024,16,24,0.6666666666666666,Syracuse,-10,0.46153846153846156,26
59,Cornell,12/04/2024,17,25,0.68,Colgate,27,0.4482758620689655,29
60,Cornell,12/08/2024,17,26,0.6538461538461539,Army,-81,0.5357142857142857,28
61,Cornell,12/10/2024,18,27,0.6666666666666666,California,8,0.41935483870967744,31
62,Cornell,12/22/2024,18,28,0.6428571428571429,Illinois St.,-3,0.59375,32
63,Cornell,12/30/2024,18,29,0.6206896551724138,Siena,-6,0.4375,32
64,High Point,01/02/2025,1,1,1.0,Radford,18,0.0,1
65,High Point,01/04/2025,1,2,0.5,UNC Asheville,-4,1.0,1
66,High Point,01/08/2025,2,3,0.6666666666666666,Charleston Souther,14,0.5,2
67,High Point,01/11/2025,3,4,0.75,Gardner Webb,41,0.5,4
68,High Point,01/16/2025,3,5,0.6,Longwood,-2,0.6,5
69,High Point,01/18/2025,4,6,0.6666666666666666,Presbyterian,11,0.2,5
70,High Point,01/22/2025,5,7,0.7142857142857143,USC Upstate,9,0.16666666666666666,6
